universe,sample,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
pool,Full,bbwp_down98_all,3,1222,595,0.0039394258668189,0.0021531797223721116,0.5226890756302521,1.8409574099487762,0.0661263277492085,0.09918949162381274
pool,Full,bbwp_down98_all,7,1222,595,0.00736366051499421,0.005352510382082065,0.5462184873949579,2.346417606742343,0.019282536809940687,0.050799312446280706
pool,Full,bbwp_down98_all,10,1220,594,0.008520559808856777,0.00958647146327879,0.5538720538720538,2.259794547758274,0.024196027539078836,0.050799312446280706
pool,Full,bbwp_down98_above_mid,3,634,376,0.006726573616064612,0.0037652190369908134,0.550531914893617,2.33845071038462,0.01988867329939246,0.050799312446280706
pool,Full,bbwp_down98_above_mid,7,634,376,0.00978670966467685,0.006212522925096192,0.5611702127659575,2.202726079386675,0.028221840247933727,0.050799312446280706
pool,Full,bbwp_down98_above_mid,10,634,376,0.007602076042993033,0.008213780432789336,0.5398936170212766,1.5353853271970177,0.12553245924366563,0.16139887617042722
pool,Full,bbwp_down98_below_mid,3,588,295,0.0014947959401722375,-0.0010758206833928474,0.4847457627118644,0.4180077506205825,0.6762465903768868,0.6762465903768868
pool,Full,bbwp_down98_below_mid,7,588,295,0.0058470562631382315,0.003701974386339346,0.5186440677966102,1.2876562445013466,0.19887831109424667,0.2237380999810275
pool,Full,bbwp_down98_below_mid,10,586,293,0.013125067533325376,0.010274747657629035,0.5802047781569966,2.3010235307957934,0.022094669616881384,0.050799312446280706
pool,IS,bbwp_down98_all,3,626,304,0.0004097985744725888,0.00030941302525555603,0.5,0.14378763803800504,0.8857637464719593,0.8857637464719593
pool,IS,bbwp_down98_all,7,626,304,0.001800136645925466,0.002506917850228496,0.5131578947368421,0.44924793548383674,0.653573974728604,0.8409643616708793
pool,IS,bbwp_down98_all,10,626,304,0.0021279797604143915,0.001440185817021794,0.5098684210526315,0.4485410018676535,0.6540833924106839,0.8409643616708793
pool,IS,bbwp_down98_above_mid,3,311,173,0.004177126584140069,0.004148323714290377,0.5606936416184971,1.2714595879274724,0.2052818314156642,0.8409643616708793
pool,IS,bbwp_down98_above_mid,7,311,173,0.006134569509204175,0.004844789189454579,0.5491329479768786,1.154504085446485,0.2498950798675767,0.8409643616708793
pool,IS,bbwp_down98_above_mid,10,311,173,0.0015888166154666664,0.0012937656666935915,0.5028901734104047,0.2672760557708042,0.7895768278782308,0.8857637464719593
pool,IS,bbwp_down98_below_mid,3,315,157,-0.004688244776333064,-0.004391430646585454,0.42038216560509556,-1.066105280313777,0.28802324836667575,0.8409643616708793
pool,IS,bbwp_down98_below_mid,7,315,157,-0.003308103089315911,-0.0012376521010224462,0.47770700636942676,-0.5990283243664495,0.5500229027946245,0.8409643616708793
pool,IS,bbwp_down98_below_mid,10,315,157,0.004219786585377332,0.004685604784033209,0.5477707006369427,0.6081079842711732,0.5440001797019196,0.8409643616708793
pool,OOS,bbwp_down98_all,3,596,291,0.007626734103496835,0.0033933389929010995,0.5463917525773195,2.385710809750666,0.017687995832036906,0.039797990622083036
pool,OOS,bbwp_down98_all,7,596,291,0.01317572668749214,0.008699188758050314,0.5807560137457045,2.7183217155477863,0.006956530593186729,0.03817197633466855
pool,OOS,bbwp_down98_all,10,594,290,0.01522174716998259,0.01539408004470837,0.6,2.583672874334383,0.010266544529211706,0.03817197633466855
pool,OOS,bbwp_down98_above_mid,3,323,203,0.008899255076768779,0.0030875632950475573,0.541871921182266,1.962241545825287,0.05110769741637419,0.07666154612456129
pool,OOS,bbwp_down98_above_mid,7,323,203,0.012899124674020558,0.007805678576087605,0.5714285714285714,1.8758563014445166,0.062117468092974984,0.07986531611953927
pool,OOS,bbwp_down98_above_mid,10,323,203,0.012726676441820923,0.012276585937471385,0.5714285714285714,1.665786900528508,0.09730587419640208,0.10946910847095234
pool,OOS,bbwp_down98_below_mid,3,273,138,0.00852912487126885,0.005455322679855157,0.5579710144927537,1.4862558869832267,0.13950913670761056,0.13950913670761056
pool,OOS,bbwp_down98_below_mid,7,273,138,0.01626270856991577,0.008470648953783605,0.5652173913043478,2.2214484279694684,0.02796174711615485,0.05033114480907873
pool,OOS,bbwp_down98_below_mid,10,271,136,0.02340542862764775,0.01903748030257682,0.6176470588235294,2.5250778859416294,0.012723992111556184,0.03817197633466855
extended,Full,bbwp_down98_all,3,4412,957,0.0014871546627004387,0.001773677585617417,0.5308254963427377,1.4809110972634967,0.1389597563528199,0.17866254388219702
extended,Full,bbwp_down98_all,7,4405,953,0.004481473997789864,0.0048859310444315796,0.5634837355718783,2.8530031948195096,0.004424634608401583,0.013273903825204748
extended,Full,bbwp_down98_all,10,4404,952,0.006081628872060989,0.007980830164297174,0.5756302521008403,3.3792967717394053,0.0007562424014510815,0.003403090806529867
extended,Full,bbwp_down98_above_mid,3,2218,719,0.0033459398295846727,0.0036966506105073904,0.5674547983310153,2.679580100292375,0.007540350025025761,0.014852297489412497
extended,Full,bbwp_down98_above_mid,7,2214,716,0.006788643636596492,0.005381990649270002,0.5600558659217877,3.4234379992690247,0.0006535891024536376,0.003403090806529867
extended,Full,bbwp_down98_above_mid,10,2214,716,0.005867039495121907,0.005403220463761035,0.5488826815642458,2.648999219148281,0.008251276383006942,0.014852297489412497
extended,Full,bbwp_down98_below_mid,3,2194,608,-2.8619910232926963e-05,-1.577810748637498e-05,0.49835526315789475,-0.018245582014924384,0.9854489350763262,0.9854489350763261
extended,Full,bbwp_down98_below_mid,7,2191,605,0.002824522744741971,0.003965299961900204,0.547107438016529,1.2524100184638391,0.21090520528304302,0.23726835594342338
extended,Full,bbwp_down98_below_mid,10,2190,604,0.006784391714561739,0.008268253248098009,0.5728476821192053,2.4453340804850714,0.014756772842422793,0.02213515926363419
extended,IS,bbwp_down98_all,3,2224,463,0.00022170823920434227,0.0002569570937860921,0.509719222462203,0.1451442233382593,0.884660301926894,0.884660301926894
extended,IS,bbwp_down98_all,7,2224,463,0.003222255047704389,0.0035099265785250577,0.550755939524838,1.3009762645469698,0.19391505285238209,0.4930029648722255
extended,IS,bbwp_down98_all,10,2224,463,0.0018842366833796212,0.005397215394035963,0.550755939524838,0.6951659016810349,0.4873008228066661,0.5551111346626875
extended,IS,bbwp_down98_above_mid,3,1031,321,0.002488693387376137,0.0030389505689434326,0.557632398753894,1.234576366317102,0.21789400939833412,0.4930029648722255
extended,IS,bbwp_down98_above_mid,7,1031,321,0.007481901285217262,0.005463826447645814,0.5482866043613707,2.2580161795107445,0.02461801892399502,0.22156217031595518
extended,IS,bbwp_down98_above_mid,10,1031,321,0.003971985137774587,0.004411725313194337,0.5389408099688473,1.0960283469780057,0.27389053604012525,0.4930029648722255
extended,IS,bbwp_down98_below_mid,3,1193,300,-0.0012886415412247645,-0.002240629321001525,0.45666666666666667,-0.6857023690211637,0.49343211970016665,0.5551111346626875
extended,IS,bbwp_down98_below_mid,7,1193,300,0.002172266727492203,0.004391786838257028,0.5466666666666666,0.7128578929899438,0.4764896456344177,0.5551111346626875
extended,IS,bbwp_down98_below_mid,10,1193,300,0.004409611996531191,0.006549846589729161,0.5533333333333333,1.202197784727667,0.23023813341838437,0.4930029648722255
extended,OOS,bbwp_down98_all,3,2188,494,0.002673190480673501,0.0033522441693603815,0.5506072874493927,2.0305604181586028,0.04283581439439778,0.055074618507082854
extended,OOS,bbwp_down98_all,7,2181,490,0.0056713074138910365,0.005303907231127364,0.5755102040816327,2.886593005108417,0.004066694758675632,0.018300126414040344
extended,OOS,bbwp_down98_all,10,2180,489,0.010055846833941303,0.010303574749192412,0.5991820040899796,4.235849125177326,2.7223747595290537e-05,0.0002450137283576148
extended,OOS,bbwp_down98_above_mid,3,1187,398,0.004037337085737789,0.004312441342789705,0.5753768844221105,2.5794388455071036,0.010254903112769425,0.018458825602984966
extended,OOS,bbwp_down98_above_mid,7,1183,395,0.0062252621044261965,0.00530015485089419,0.569620253164557,2.61053171108672,0.009385005189472535,0.018458825602984966
extended,OOS,bbwp_down98_above_mid,10,1183,395,0.007407071010839602,0.005847963363041275,0.5569620253164557,2.7129322135046605,0.006961528211460231,0.018458825602984966
extended,OOS,bbwp_down98_below_mid,3,1001,308,0.0011986738861876926,0.001889516819628928,0.538961038961039,0.47973664485835865,0.631756261558841,0.631756261558841
extended,OOS,bbwp_down98_below_mid,7,998,305,0.0034660860403974802,0.0038860376455533974,0.5475409836065573,1.0422560869759783,0.29812110587204865,0.3353862441060547
extended,OOS,bbwp_down98_below_mid,10,997,304,0.009127924331039252,0.0114939579793217,0.5921052631578947,2.194720277036441,0.028942293279985393,0.04341343991997809
