sample,signal_label,horizon,n_events,n_effective,mean_return,median_return,hit_rate,t_stat,p_value,p_fdr
Full,cross_up_2.0,7,9877,972,0.0021109247089489045,0.0008398295688870554,0.5164609053497943,1.7733561601584233,0.07648310953464926,0.07648310953464926
Full,cross_up_2.0,30,9396,949,0.006695949873691755,0.002278199465095049,0.5163329820864068,2.5118886492435704,0.012173894191820224,0.018260841287730336
Full,cross_up_2.0,60,8975,919,0.02786546714552321,0.012168812700296183,0.5495103373231773,4.354206355824026,1.4857168556577059e-05,4.4571505669731176e-05
IS,cross_up_2.0,7,6953,692,-0.000227210599127058,-0.0002981262044369526,0.49421965317919075,-0.17124903312649262,0.8640780883085483,0.8640780883085483
IS,cross_up_2.0,30,6953,692,0.001793461812513441,0.0002388538342204353,0.5028901734104047,0.6244674181793748,0.5325267838252314,0.7987901757378472
IS,cross_up_2.0,60,6953,692,0.018679021131852762,0.009219756588446756,0.5404624277456648,2.669337323332493,0.007778597270152541,0.023335791810457623
OOS,cross_up_2.0,7,2924,280,0.007889459113193784,0.005267115933263768,0.5714285714285714,3.17471287165896,0.0016678117838829598,0.0016678117838829596
OOS,cross_up_2.0,30,2443,257,0.019896423563712743,0.006947790005056085,0.5525291828793775,3.3029402671045456,0.0010932423375643386,0.0016398635063465078
OOS,cross_up_2.0,60,2022,227,0.05586996336340843,0.03408232751328891,0.5770925110132159,3.8327634200177574,0.00016427549881713101,0.000492826496451393
