universe,sample,signal_label,horizon,n_events,n_effective,mean_excess_return,median_excess_return,positive_rate,t_stat,p_value,p_fdr
pool,Full,pmarp_up98_excess_vs_spy,7,2571,769,0.009669551153067118,0.004001712903965893,0.540962288686606,3.462899510960386,0.0005639728726591284,0.0005639728726591284
pool,Full,pmarp_up98_excess_vs_spy,14,2544,764,0.016424292943842178,0.0073068541325065,0.5418848167539267,4.3978668683491104,1.2484872334073633e-05,1.872730850111045e-05
pool,Full,pmarp_up98_excess_vs_spy,21,2540,761,0.020147609988452785,0.008999296256041197,0.5545335085413929,4.537819622537475,6.6046772821848395e-06,1.872730850111045e-05
pool,IS,pmarp_up98_excess_vs_spy,7,1331,350,0.00565575398263971,0.004106308176684226,0.5542857142857143,1.931774101382452,0.05419665984652302,0.05419665984652302
pool,IS,pmarp_up98_excess_vs_spy,14,1331,350,0.010493811147361467,0.00864846743304774,0.56,2.480350206014809,0.013596268532333488,0.038896806124004486
pool,IS,pmarp_up98_excess_vs_spy,21,1331,350,0.01087863236823233,0.007259099412573905,0.5457142857142857,2.236789565515222,0.02593120408266966,0.038896806124004486
pool,OOS,pmarp_up98_excess_vs_spy,7,1240,419,0.013022365018579275,0.00397294093339523,0.5298329355608592,2.893495291785968,0.0040091235005451165,0.0040091235005451165
pool,OOS,pmarp_up98_excess_vs_spy,14,1213,414,0.0214379852838621,0.00563200093193994,0.5265700483091788,3.642967839403371,0.0003038215642880567,0.000455732346432085
pool,OOS,pmarp_up98_excess_vs_spy,21,1209,411,0.02804089993267945,0.009378448215266197,0.5620437956204379,3.958368553325466,8.894277164091634e-05,0.000266828314922749
extended,Full,pmarp_up98_excess_vs_spy,7,9526,1030,0.0024169901022852557,0.0015514403407373579,0.5262135922330097,1.8766970464322994,0.06084243408216315,0.060842434082163145
extended,Full,pmarp_up98_excess_vs_spy,14,9439,1023,0.004465328879998716,0.0038206974083095703,0.5376344086021505,2.6480321584952495,0.008220886511481904,0.024662659534445713
extended,Full,pmarp_up98_excess_vs_spy,21,9412,1017,0.004183440943056437,0.005549519262924944,0.5457227138643068,2.0616619155240192,0.03949385436714727,0.059240781550720906
extended,IS,pmarp_up98_excess_vs_spy,7,4788,489,0.0042705887496696515,0.002069659462860951,0.5439672801635992,2.214289686924216,0.027270247231278473,0.04090537084691771
extended,IS,pmarp_up98_excess_vs_spy,14,4788,489,0.005860057189235794,0.0051989428970821506,0.5541922290388548,2.613809937089703,0.009230477622116066,0.027691432866348197
extended,IS,pmarp_up98_excess_vs_spy,21,4788,489,0.005282644840030951,0.006094371217304584,0.5603271983640081,1.8800458766976949,0.06069726765961399,0.060697267659613995
extended,OOS,pmarp_up98_excess_vs_spy,7,4738,541,0.0007415562047418736,0.0011356804214832958,0.5101663585951941,0.4304213378284644,0.6670609070636397,0.6670609070636399
extended,OOS,pmarp_up98_excess_vs_spy,14,4651,534,0.003188133855247907,0.0019455992826444808,0.5224719101123596,1.2778496288303716,0.20185870275931117,0.41776577263097575
extended,OOS,pmarp_up98_excess_vs_spy,21,4624,528,0.003165428243017541,0.004158942769237409,0.5321969696969697,1.084790356417254,0.27851051508731717,0.41776577263097575
