universe,sample,signal_label,horizon,n_events,n_effective,mean_return,median_return,positive_rate,t_stat,p_value,p_fdr
pool,Full,pmarp_up98,7,2571,769,0.013396940081610537,0.005188364313857782,0.5474642392717816,4.549725253620288,6.241473696343678e-06,6.241473696343678e-06
pool,Full,pmarp_up98,14,2544,764,0.023022915199659714,0.010297464083823163,0.5615183246073299,5.68163667168851,1.898052887511728e-08,2.847079331267592e-08
pool,Full,pmarp_up98,21,2540,761,0.029083246500330475,0.018358638483675804,0.5926412614980289,6.09835315253019,1.7048526475903368e-09,5.114557942771011e-09
pool,IS,pmarp_up98,7,1331,350,0.007639264479358738,0.006039229788857681,0.5457142857142857,2.218858512049381,0.0271391219886864,0.0271391219886864
pool,IS,pmarp_up98,14,1331,350,0.0139089630439294,0.006783791263088856,0.54,2.73283325672354,0.006598875802892282,0.016924899506501483
pool,IS,pmarp_up98,21,1331,350,0.014680761100182934,0.003938867543155089,0.52,2.547337115706713,0.011283266337667656,0.016924899506501483
pool,OOS,pmarp_up98,7,1240,419,0.018206454307835192,0.004874642516588794,0.548926014319809,3.9873554139993033,7.885717894391004e-05,7.885717894391004e-05
pool,OOS,pmarp_up98,14,1213,414,0.030727947215373745,0.01361618011554398,0.5797101449275363,5.040650470328513,6.955025261519204e-07,1.0432537892278807e-06
pool,OOS,pmarp_up98,21,1209,411,0.04134813674376513,0.023620318742591184,0.6545012165450121,5.669627811248117,2.7037030632961995e-08,8.111109189888598e-08
extended,Full,pmarp_up98,7,9526,1030,0.005520800288037116,0.006458233043593281,0.5650485436893203,3.9819518219514256,7.315735908484093e-05,7.315735908484093e-05
extended,Full,pmarp_up98,14,9439,1023,0.010190743529826305,0.008882282337579846,0.5747800586510264,5.409001473616132,7.892532884215443e-08,1.1838799326323165e-07
extended,Full,pmarp_up98,21,9412,1017,0.01246819266914688,0.01302363985373256,0.5988200589970502,5.587664522721428,2.9551038938993038e-08,8.865311681697911e-08
extended,IS,pmarp_up98,7,4788,489,0.005116722530562073,0.006769367267314303,0.5664621676891616,2.306147930079034,0.021520578232447064,0.021520578232447064
extended,IS,pmarp_up98,14,4788,489,0.0077280324504823495,0.008882282337579846,0.5664621676891616,2.7551173846988384,0.0060864154659909684,0.018259246397972904
extended,IS,pmarp_up98,21,4788,489,0.00867726325059131,0.006905254489856143,0.5521472392638037,2.498313951999133,0.01280646807079141,0.019209702106187117
extended,OOS,pmarp_up98,7,4738,541,0.0058860387786199165,0.00637718680398236,0.5637707948243993,3.4256919614870642,0.0006598940502389592,0.0006598940502389592
extended,OOS,pmarp_up98,14,4651,534,0.012445922776641274,0.008897476007742343,0.5823970037453183,4.91116786117946,1.2059357428627306e-06,1.808903614294096e-06
extended,OOS,pmarp_up98,21,4624,528,0.015979110255650054,0.016003228109739052,0.6420454545454546,5.616260483175475,3.1618400446041813e-08,9.485520133812544e-08
