universe,cohort,raw_events,symbols,research_block
pool,pmarp_up2_accept_rvol_recent3,718,141,pmarp_rvol_lift
pool,pmarp_up2_accept_rvol_recent5,1107,145,pmarp_rvol_lift
pool,pmarp_up2_accept_rvol_same_day,181,102,pmarp_rvol_lift
pool,pmarp_up2_base,2870,150,pmarp_rvol_lift
pool,pmarp_up2_reject_rvol_recent3,2152,150,pmarp_rvol_lift
pool,pmarp_up2_reject_rvol_recent5,1763,150,pmarp_rvol_lift
pool,pmarp_up2_reject_rvol_same_day,2689,150,pmarp_rvol_lift
pool,rvol_up2_pmarp_gte60,2446,150,strong_state_confirmation
pool,rvol_up2_pmarp_gte60_close_near_high,1137,149,strong_state_confirmation
pool,rvol_up2_pmarp_gte60_sign_pos,1833,150,strong_state_confirmation
pool,rvol_up2_pmarp_gte60_sign_pos_close_near_high,1030,148,strong_state_confirmation
pool,rvol_up2_pmarp_lt30_close_near_low,1067,150,low_state_rebound
pool,rvol_up2_pmarp_lt30_sign_neg,1793,150,low_state_rebound
extended,pmarp_up2_accept_rvol_recent3,2720,513,pmarp_rvol_lift
extended,pmarp_up2_accept_rvol_recent5,4071,517,pmarp_rvol_lift
extended,pmarp_up2_accept_rvol_same_day,642,362,pmarp_rvol_lift
extended,pmarp_up2_base,9936,521,pmarp_rvol_lift
extended,pmarp_up2_reject_rvol_recent3,7216,520,pmarp_rvol_lift
extended,pmarp_up2_reject_rvol_recent5,5865,520,pmarp_rvol_lift
extended,pmarp_up2_reject_rvol_same_day,9294,521,pmarp_rvol_lift
extended,rvol_up2_pmarp_gte60,8410,521,strong_state_confirmation
extended,rvol_up2_pmarp_gte60_close_near_high,3708,518,strong_state_confirmation
extended,rvol_up2_pmarp_gte60_sign_pos,5470,521,strong_state_confirmation
extended,rvol_up2_pmarp_gte60_sign_pos_close_near_high,3148,516,strong_state_confirmation
extended,rvol_up2_pmarp_lt30_close_near_low,3981,519,low_state_rebound
extended,rvol_up2_pmarp_lt30_sign_neg,6484,520,low_state_rebound
