ma_window,threshold,event_type,primary_cell,event_n_short,event_n_long,first_valid_date,last_date,effective_years,events_per_year,event_hit,baseline_hit,hit_lift_pp,perm_p,perm_sampling_method,perm_success_rate,strategy_cagr_pp,bnh_cagr_pp,excess_cagr_pp,excess_cagr_ci_low,excess_cagr_ci_high,excess_cagr_share_negative,n_trades,exposure_pct,target_same_sign_count,target_same_sign_targets,short_horizon_same_sign_count,short_horizon_same_sign_horizons,long_horizon_diff,h1_freq_pass,h2_hit_pass,h3_target_pass,h4_short_horizon_pass,h5_perm_pass,h6_strategy_pass,passes_count_param
20,0.2,low_recovery,SPY_10d,19,13,2021-03-01,2026-04-28,5.1468,3.6916,57.89473684210527,61.96850393700788,-4.073767094902614,0.8811188811188811,rejection,1.0,-2.2772995125945217,12.420562195997075,-14.697861708591596,-16.87603253566384,-10.559802054685488,1.0,19,14.649190439475712,0,,1,20,0.007243052031558783,True,False,False,False,False,False,1
20,0.25,low_recovery,SPY_10d,22,14,2021-03-01,2026-04-28,5.1468,4.2745,59.09090909090909,61.957379636937645,-2.866470546028552,0.566,rejection,0.999,0.39836249165143833,12.420562195997075,-12.022199704345637,-15.425894549273771,-8.049850210863736,1.0,22,16.962220508866615,1,SOXX,1,20,0.012764146242075839,False,False,False,False,False,False,0
20,0.3,low_recovery,SPY_10d,28,17,2021-03-01,2026-04-28,5.1468,5.4402,64.28571428571429,61.855670103092784,2.430044182621508,0.214,rejection,0.499,3.1280627260763083,12.420562195997075,-9.292499469920767,-13.839345783400146,-6.536074233744772,1.0,28,21.58828064764842,3,"SPY,QQQ,SOXX",2,"10,20",0.015536217620623776,False,False,True,True,False,False,2
20,0.7,high_strength,SPY_10d,29,16,2021-03-01,2026-04-28,5.1468,5.6345,62.06896551724138,61.904761904761905,0.16420361247947568,0.44685714285714284,rejection,0.874,1.8208858930018224,12.420562195997075,-10.599676302995253,-13.679266436622374,-8.15424199965907,1.0,29,22.35929067077872,2,"SPY,QQQ",2,"5,10",-0.010085729770200606,False,False,False,True,False,False,1
20,0.75,high_strength,SPY_10d,23,14,2021-03-01,2026-04-28,5.1468,4.4688,73.91304347826086,61.69036334913112,12.222680129129742,0.4444444444444444,rejection,0.935,1.5582154450008545,12.420562195997075,-10.86234675099622,-13.996478430516873,-8.31182566233563,1.0,23,17.733230531996917,2,"SPY,QQQ",3,"5,10,20",-0.004473642847194367,False,False,False,True,False,False,1
20,0.8,high_strength,SPY_10d,14,9,2021-03-01,2026-04-28,5.1468,2.7201,71.42857142857143,61.80392156862745,9.624649859943979,0.4965034965034965,rejection,1.0,0.06149218656155142,12.420562195997075,-12.359070009435523,-14.643712578286433,-9.55176457920137,1.0,13,10.023130300693909,0,,2,"5,20",-0.013061337245287623,True,False,False,True,False,False,2
50,0.2,low_recovery,SPY_10d,7,5,2021-04-13,2026-04-28,5.0278,1.3923,57.14285714285714,61.34185303514377,-4.198995892286632,0.16683316683316685,rejection,1.0,1.5487931201933813,11.438767089695157,-9.889973969501774,-11.915928165214762,-9.021361075662938,1.0,7,5.524861878453039,3,"SPY,QQQ,SOXX",2,"10,20",0.05383712324123329,False,False,True,True,False,False,2
50,0.25,low_recovery,SPY_10d,14,10,2021-04-13,2026-04-28,5.0278,2.7845,64.28571428571429,61.285140562249,3.000573723465294,0.37009544008483564,rejection,0.942,0.3837807716216668,11.438767089695157,-11.054986318073489,-13.27228471858043,-8.702748438746275,1.0,14,11.049723756906078,1,SOXX,2,"5,20",0.015554350352210738,True,False,False,True,False,False,2
50,0.3,low_recovery,SPY_10d,17,12,2021-04-13,2026-04-28,5.0278,3.3812,47.05882352941176,61.51368760064412,-14.454864071232358,0.8888888888888888,rejection,0.494,-3.4347452002751355,11.438767089695157,-14.873512289970293,-16.01168958735367,-10.818439177507715,1.0,17,13.417521704814522,0,,1,20,0.0014178484881847142,True,False,False,False,False,False,1
50,0.7,high_strength,SPY_10d,19,12,2021-04-13,2026-04-28,5.0278,3.779,73.68421052631578,61.12903225806452,12.555178268251261,0.6033966033966034,rejection,1.0,0.6000203091638179,11.438767089695157,-10.838746780531338,-12.91408537333425,-9.286962894961041,1.0,19,14.99605367008682,0,,1,20,-0.00725582630997142,True,False,False,False,False,False,1
50,0.75,high_strength,SPY_10d,11,8,2021-04-13,2026-04-28,5.0278,2.1878,63.63636363636363,61.29807692307693,2.3382867132867062,0.7022977022977023,rejection,1.0,-0.26919587293974256,11.438767089695157,-11.707962962634898,-12.705209747600744,-10.416393677272072,1.0,11,8.681925808997633,0,,0,,-0.0008335639268992265,True,False,False,False,False,False,1
50,0.8,high_strength,SPY_10d,6,5,2021-04-13,2026-04-28,5.0278,1.1934,66.66666666666666,61.29289704708699,5.373769619579669,0.48951048951048953,rejection,1.0,0.20056506227001947,11.438767089695157,-11.238202027425137,-12.108483999606124,-10.41881878262756,1.0,6,4.73559589581689,1,SOXX,1,5,-0.026842133672039505,False,False,False,False,False,False,0
