review_reason,symbol,company_name,fmp_sector,fmp_industry,market_cap_b,mcap_tier,description,l1,l2,l3_themes,business_role,prefill_source,confidence,needs_review,boss_notes
hard_needs_review,U,,,,,,,,,,,llm_failed,0.00,1,
hard_needs_review,ULS,,,,,,,,,,,llm_failed,0.00,1,
hard_needs_review,WSE,,,,,,,,,,,llm_failed,0.00,1,
hard_needs_review,WSM,,,,,,,,,,,llm_failed,0.00,1,
soft_low_confidence,WIT,,,,,,,互联网与软件,企业SaaS,AI应用层,印度大型IT服务与咨询外包商，为全球企业提供数字化转型、应用开发与AI集成集成服务。,llm,0.50,0,
soft_low_confidence,VIAV,,,,,,,工业与航天,工业自动化与机械,光通信;6G/卫星通信,网络与光通信测试测量设备供应商，提供光纤及5G/6G网络测试仪器、网络保障软件，以及光学防伪与3D传感滤光片。,llm,0.60,0,
soft_low_confidence,WY,,,,,,,地产与公用,工业建材,房地产周期;利率敏感;通胀对冲,威尔豪泽是全球最大林地所有者之一，以REIT形式运营约千万英亩林地并生产木材与工程木制品，价值受房地产/新屋开工周期、利率与林地实物资产价值驱动。,llm,0.60,0,
soft_low_confidence,VSAT,,,,,,,互联网与软件,电信运营商,6G/卫星通信;商业航天;地缘政治,全球卫星通信运营商，提供卫星宽带、机载/海事连接及政府国防通信服务（含Inmarsat），核心营收来自卫星网络服务。,llm,0.68,0,
ok,VLTO,,,,,,,工业与航天,工业自动化与机械,防御股,全球领先的水质检测与产品识别（标记编码/包装/色彩）精密仪器与耗材龙头，以高经常性收入构成防御型工业复利标的,llm,0.70,0,
ok,VICR,,,,,,,半导体,模拟与功率,数据中心电力;AI算力,Vicor 设计制造模块化电源转换器件，为 AI 数据中心 GPU 等高密度处理器提供垂直供电（VPD）高密度供电方案。,llm,0.72,0,
ok,WYNN,,,,,,,消费与零售,可选消费品牌,中国敞口,永利度假村是高端赌场与综合度假村运营商，核心营收高度依赖澳门博彩业务，属可选消费中的奢侈休闲娱乐品牌。,llm,0.80,0,
ok,ZBRA,,,,,,,工业与航天,工业自动化与机械,工业资本开支;关税敞口;端侧AI,全球企业级条码扫描、移动数据采集与RFID资产追踪硬件龙头，主要服务零售、仓储物流与制造自动化的数据采集与资产智能场景。,llm,0.82,0,
ok,TYL,,,,,,,互联网与软件,企业SaaS,,为美国地方政府、法院和学校提供一体化软件与SaaS服务的公共部门垂直软件龙头。,llm,0.86,0,
ok,ULTA,,,,,,,消费与零售,大型零售,,美国最大的美妆专营连锁零售商，通过约1400家门店和电商销售化妆品、护肤、香水及提供沙龙服务。,llm,0.88,0,
ok,UDR,,,,,,,地产与公用,住宅与商业REIT,利率敏感;房地产周期;通胀对冲,UDR是美国大型多户型公寓REIT，持有并运营全国性住宅租赁社区，靠租金现金流和派息提供回报。,llm,0.97,0,
